*All Inputs are case sensitive.  For Example:  FAM is different from Fam,,,,,,,,,,
*Do not change column header names and do not delete [Sample Setup].,,,,,,,,,,
*Minimal columns needed are:  Well and Well Position,,,,,,,,,,
[Sample Setup],,,,,,,,,,
Well,Well Position,Sample Name,Biogroup Name,Biogroup Color,Target Name,Task,Target Color,Quencher,Reporter,Comments
364,P4,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
364,P4,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
364,P4,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
364,P4,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
5,A5,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
5,A5,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
5,A5,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
5,A5,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
29,B5,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
29,B5,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
29,B5,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
29,B5,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
53,C5,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
53,C5,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
53,C5,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
53,C5,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
77,D5,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
77,D5,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
77,D5,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
77,D5,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
101,E5,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
101,E5,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
101,E5,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
101,E5,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
125,F5,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
125,F5,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
125,F5,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
125,F5,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
149,G5,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
149,G5,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
149,G5,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
149,G5,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
173,H5,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
173,H5,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
173,H5,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
173,H5,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
197,I5,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
197,I5,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
197,I5,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
197,I5,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
221,J5,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
221,J5,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
221,J5,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
221,J5,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
245,K5,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
245,K5,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
245,K5,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
245,K5,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
269,L5,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
269,L5,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
269,L5,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
269,L5,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
293,M5,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
293,M5,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
293,M5,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
293,M5,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
317,N5,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
317,N5,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
317,N5,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
317,N5,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
341,O5,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
341,O5,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
341,O5,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
341,O5,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
365,P5,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
365,P5,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
365,P5,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
365,P5,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
6,A6,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
6,A6,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
6,A6,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
6,A6,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
30,B6,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
30,B6,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
30,B6,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
30,B6,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
54,C6,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
54,C6,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
54,C6,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
54,C6,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
78,D6,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
78,D6,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
78,D6,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
78,D6,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
102,E6,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
102,E6,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
102,E6,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
102,E6,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
126,F6,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
126,F6,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
126,F6,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
126,F6,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
150,G6,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
150,G6,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
150,G6,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
150,G6,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
174,H6,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
174,H6,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
174,H6,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
174,H6,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
198,I6,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
198,I6,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
198,I6,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
198,I6,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
222,J6,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
222,J6,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
222,J6,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
222,J6,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
246,K6,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
246,K6,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
246,K6,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
246,K6,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
270,L6,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
270,L6,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
270,L6,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
270,L6,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
294,M6,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
294,M6,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
294,M6,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
294,M6,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
318,N6,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
318,N6,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
318,N6,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
318,N6,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
342,O6,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
342,O6,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
342,O6,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
342,O6,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
366,P6,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
366,P6,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
366,P6,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
366,P6,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
7,A7,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
7,A7,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
7,A7,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
7,A7,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
31,B7,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
31,B7,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
31,B7,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
31,B7,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
55,C7,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
55,C7,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
55,C7,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
55,C7,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
79,D7,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
79,D7,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
79,D7,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
79,D7,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
103,E7,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
103,E7,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
103,E7,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
103,E7,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
127,F7,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
127,F7,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
127,F7,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
127,F7,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
151,G7,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
151,G7,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
151,G7,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
151,G7,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
175,H7,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
175,H7,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
175,H7,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
175,H7,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
199,I7,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
199,I7,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
199,I7,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
199,I7,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
223,J7,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
223,J7,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
223,J7,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
223,J7,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
247,K7,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
247,K7,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
247,K7,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
247,K7,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
271,L7,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
271,L7,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
271,L7,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
271,L7,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
295,M7,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
295,M7,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
295,M7,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
295,M7,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
319,N7,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
319,N7,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
319,N7,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
319,N7,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
343,O7,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
343,O7,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
343,O7,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
343,O7,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
367,P7,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
367,P7,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
367,P7,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
367,P7,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
8,A8,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
8,A8,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
8,A8,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
8,A8,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
32,B8,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
32,B8,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
32,B8,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
32,B8,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
56,C8,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
56,C8,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
56,C8,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
56,C8,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
80,D8,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
80,D8,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
80,D8,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
80,D8,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
104,E8,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
104,E8,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
104,E8,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
104,E8,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
128,F8,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
128,F8,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
128,F8,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
128,F8,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
152,G8,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
152,G8,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
152,G8,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
152,G8,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
176,H8,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
176,H8,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
176,H8,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
176,H8,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
200,I8,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
200,I8,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
200,I8,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
200,I8,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
224,J8,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
224,J8,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
224,J8,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
224,J8,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
248,K8,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
248,K8,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
248,K8,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
248,K8,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
272,L8,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
272,L8,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
272,L8,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
272,L8,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
296,M8,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
296,M8,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
296,M8,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
296,M8,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
320,N8,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
320,N8,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
320,N8,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
320,N8,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
344,O8,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
344,O8,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
344,O8,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
344,O8,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
368,P8,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
368,P8,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
368,P8,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
368,P8,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
9,A9,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
9,A9,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
9,A9,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
9,A9,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
