*All Inputs are case sensitive.  For Example:  FAM is different from Fam,,,,,,,,,,
*Do not change column header names and do not delete [Sample Setup].,,,,,,,,,,
*Minimal columns needed are:  Well and Well Position,,,,,,,,,,
[Sample Setup],,,,,,,,,,
Well,Well Position,Sample Name,Biogroup Name,Biogroup Color,Target Name,Task,Target Color,Quencher,Reporter,Comments
337,O1,2,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
337,O1,2,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
337,O1,2,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
337,O1,2,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
361,P1,2,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
361,P1,2,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
361,P1,2,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
361,P1,2,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
2,A2,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
2,A2,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
2,A2,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
2,A2,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
26,B2,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
26,B2,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
26,B2,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
26,B2,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
50,C2,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
50,C2,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
50,C2,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
50,C2,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
74,D2,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
74,D2,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
74,D2,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
74,D2,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
98,E2,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
98,E2,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
98,E2,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
98,E2,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
122,F2,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
122,F2,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
122,F2,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
122,F2,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
146,G2,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
146,G2,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
146,G2,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
146,G2,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
170,H2,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
170,H2,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
170,H2,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
170,H2,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
194,I2,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
194,I2,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
194,I2,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
194,I2,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
218,J2,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
218,J2,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
218,J2,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
218,J2,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
242,K2,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
242,K2,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
242,K2,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
242,K2,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
266,L2,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
266,L2,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
266,L2,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
266,L2,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
290,M2,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
290,M2,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
290,M2,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
290,M2,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
314,N2,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
314,N2,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
314,N2,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
314,N2,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
338,O2,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
338,O2,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
338,O2,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
338,O2,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
362,P2,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
362,P2,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
362,P2,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
362,P2,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
3,A3,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
3,A3,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
3,A3,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
3,A3,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
27,B3,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
27,B3,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
27,B3,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
27,B3,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
51,C3,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
51,C3,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
51,C3,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
51,C3,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
75,D3,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
75,D3,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
75,D3,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
